Player,HOFm,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Domata Peko\PekoDo20,31.43,0,0,0,12,2006,2020,69,214,194,0,0,0,0,14,20.0,616,321,295,47,50
Shaun Rogers\RogeSh99,31.35,0,0,3,8,2001,2013,59,163,130,1,66,1,66,27,37.5,514,374,140,83,75
Jim Osborne\OsboJi20,30.95,0,0,0,11,1972,1984,67,186,154,0,0,0,0,,10.5,,,,,
Marcell Dareus\DareMa00,30.93,0,1,2,7,2011,2019,57,121,107,0,0,0,0,15,37.5,365,255,110,50,61
Dan Saleaumua\SaleDa00,30.88,0,0,1,8,1987,1998,64,177,131,3,34,0,21,,35.5,580,546,34,,
Randy Starks\StarRa20,30.78,0,0,2,8,2004,2015,61,186,147,4,33,0,18,21,42.0,422,300,122,70,77
Muhammad Wilkerson\WilkMu00,30.35,0,0,1,7,2011,2018,64,108,104,2,9,0,6,29,44.5,410,245,165,71,103
Tony Siragusa\SiraTo20,30.33,1,0,0,10,1990,2001,57,169,148,0,0,0,0,7,22.0,564,487,77,14,
Kelly Gregg\GregKe20,30.05,0,0,0,9,1999,2011,65,153,138,0,0,0,0,10,20.5,574,396,178,52,17
Otis Sistrunk\SistOt00,29.98,1,0,1,7,1972,1978,53,98,98,3,2,0,2,,,,,,,
Erik Howard\HowaEr00,29.33,2,0,1,5,1986,1996,48,139,94,0,0,0,0,,33.0,403,377,26,,
Tom Keating\KeatTo00,29.23,2,1,2,5,1964,1975,48,114,82,0,0,0,0,,,,,,,
Gary Dunn\DunnGa20,29.15,2,0,0,8,1976,1987,50,146,105,0,0,0,0,,18.0,,,,,
Bill Pickel\PickBi20,29.05,1,1,0,4,1983,1994,49,174,73,0,0,0,0,,56.0,576,570,6,,
Damon Harrison\HarrDa03,29.00,0,1,0,7,2012,2020,60,124,111,1,9,0,9,10,11.0,494,295,199,37,24
Leon Lett\LettLe00,29.00,3,0,2,5,1991,2001,40,121,73,0,0,0,0,8,22.5,271,231,40,8,
Tommie Harris\HarrTo99,28.93,0,0,3,6,2004,2011,54,117,91,1,6,0,6,4,31.5,231,187,44,56,50
Santana Dotson\DotsSa20,28.88,1,0,0,9,1992,2001,54,152,129,0,0,0,0,4,49.0,460,337,123,13,
Sheldon Richardson\RichSh00,28.78,0,0,1,8,2013,2020,61,121,118,1,5,0,5,14,31.0,461,273,188,58,92
Orpheus Roye\RoyeOr20,28.75,1,0,0,8,1996,2008,54,180,128,2,2,0,2,41,18.5,499,361,138,54,6
Darryl Grant\GranDa20,28.45,2,0,0,8,1981,1991,49,141,109,2,0,0,0,,27.0,,,,,
Floyd Peters\PeteFl00,28.45,0,0,3,9,1959,1970,53,145,123,3,12,0,9,,,,,,,
Cullen Jenkins\JenkCu20,28.40,1,0,0,9,2004,2016,52,184,137,1,4,0,4,20,49.0,348,242,106,76,101
Dave Costa\CostDa00,28.28,0,0,4,10,1963,1974,60,168,141,0,0,0,0,,,,,,,
Dave Rowe\RoweDa20,28.20,1,0,1,10,1967,1978,49,165,144,0,0,0,0,,,,,,,
Fred Robbins\RobbFr20,28.15,1,0,0,10,2000,2011,52,180,148,3,25,0,13,27,35.5,370,272,98,88,50
John Elliott\ElliJo00,28.08,1,1,3,5,1967,1973,43,85,68,0,0,0,0,,,,,,,
Bill Maas\MaasBi00,27.83,0,0,2,8,1984,1993,55,130,114,0,0,0,0,,40.0,,,,,
Wally Chambers\ChamWa00,27.28,0,1,3,5,1973,1979,46,88,74,1,8,0,8,,,,,,,
Dontari Poe\PoexDo00,27.25,0,0,2,8,2012,2020,57,128,125,0,0,0,0,14,20.5,285,205,80,31,49
Cornelius Griffin\GrifCo20,26.90,0,0,0,9,2000,2009,59,146,130,2,0,0,0,24,29.0,461,340,121,73,20
Dan Wilkinson\WilkDa22,26.80,0,0,0,12,1994,2006,59,195,182,5,99,1,88,25,54.5,390,302,88,39,0
Derek Wolfe\WolfDe00,26.68,1,0,0,8,2012,2020,50,122,116,1,2,0,2,17,34.0,350,225,125,52,81
Manny Fernandez\FernMa20,26.65,2,0,0,6,1968,1975,48,103,94,0,0,0,0,,,,,,,
Hollis Thomas\ThomHo20,26.50,0,0,0,9,1996,2009,58,178,136,0,0,0,0,11,20.0,518,396,122,52,10
Jim Burt\BurtJi00,26.43,2,0,1,5,1981,1991,42,118,78,0,0,0,0,,20.0,,,,,
Luther Elliss\ElliLu00,26.18,0,0,2,8,1995,2004,51,134,119,0,0,0,0,8,29.0,331,214,117,22,
Joe Phillips\PhilJo20,26.10,0,0,0,10,1986,1999,57,200,152,1,2,0,2,0,24.5,399,372,27,3,
Bryan Robinson\RobiBr20,26.08,0,0,0,11,1997,2010,57,207,170,0,0,0,0,39,24.0,429,320,109,46,16
DeForest Buckner\BuckDe00,25.93,0,1,1,5,2016,2020,50,78,77,0,0,0,0,14,38.0,321,203,118,48,100
William Perry\PerrWi20,25.93,1,0,0,9,1985,1994,48,138,118,0,0,0,0,,29.5,524,506,18,,
Chuck Walker\WalkCh00,25.88,0,1,1,6,1964,1975,49,143,83,1,0,0,0,,,,,,,
Alan Branch\BranAl99,25.83,2,0,0,6,2007,2017,46,146,86,0,0,0,0,14,10.5,284,185,99,30,36
Chris Hovan\HovaCh20,25.65,0,0,0,10,2000,2009,56,156,149,0,0,0,0,15,22.0,412,309,103,58,19
Lawrence Guy\GuyxLa00,25.50,1,0,0,5,2012,2020,48,129,79,1,5,0,5,8,13.5,363,200,163,33,53
James Jones\JoneJa20,25.50,0,0,0,9,1991,2000,56,160,140,1,20,1,20,2,37.0,432,373,59,18,
Ken Clarke\ClarKe24,25.38,0,0,0,8,1978,1991,56,203,110,0,0,0,0,,43.5,,,,,
Darrell Russell\RussDa00,24.98,0,1,2,5,1997,2003,44,83,65,1,0,0,0,15,28.5,235,187,48,35,
Chad Hennings\HennCh20,24.90,3,0,0,4,1992,2000,38,119,72,0,0,0,0,6,27.5,269,216,53,7,
Anthony McFarland\McFaAn20,24.60,2,0,0,7,1999,2006,41,109,95,1,0,0,0,5,22.5,257,174,83,49,4
Gerald Williams\WillGe22,24.60,0,0,0,8,1986,1997,54,161,127,0,0,0,0,,25.5,396,363,33,,
Steve Furness\FurnSt20,24.50,4,0,0,2,1972,1981,33,106,49,0,0,0,0,,,,,,,
Michael Brockers\BrocMi00,24.48,0,0,0,9,2012,2020,55,138,136,0,0,0,0,9,28.0,395,250,145,48,62
Chris Jones\JoneCh09,24.35,1,0,2,5,2016,2020,40,76,55,2,17,1,20,24,40.5,172,120,52,40,100
Barry Cofield\CofiBa20,24.00,1,0,0,8,2006,2015,44,138,129,0,0,0,0,25,19.5,311,208,103,44,56
Doug Sutherland\SuthDo21,24.00,0,0,0,7,1970,1981,53,164,96,0,0,0,0,,,,,,,
Sean Gilbert\GilbSe00,23.95,0,0,1,8,1992,2003,50,146,132,2,4,0,4,9,42.5,475,395,80,14,
Malik Jackson\JackMa02,23.90,1,0,1,4,2012,2020,42,126,73,0,0,0,0,25,35.0,267,199,68,61,99
Tim Johnson\JohnTi20,23.83,1,0,0,7,1987,1996,44,146,106,1,14,0,14,,31.5,480,465,15,,
Joel Steed\SteeJo00,23.38,0,0,1,7,1992,1999,49,115,103,0,0,0,0,0,9.5,305,227,78,4,
Gerard Warren\WarrGe20,23.30,0,0,0,9,2001,2011,52,163,137,0,0,0,0,18,36.5,339,253,86,61,29
Brentson Buckner\BuckBr20,23.23,0,0,0,8,1994,2005,51,174,125,2,37,0,29,28,31.0,430,309,121,40,
Brandon Williams\WillBr02,23.23,0,0,1,7,2013,2020,50,110,101,0,0,0,0,8,6.5,288,168,120,29,18
Mike Pitts\PittMi20,23.03,0,0,0,7,1983,1994,51,169,123,1,1,0,1,,48.5,814,804,10,,
Malcom Brown\BrowMa01,22.98,2,0,0,5,2015,2020,40,89,80,0,0,0,0,1,11.5,247,130,117,23,23
Paul Rochester\RochPa00,22.90,2,0,1,7,1960,1969,50,132,108,0,0,0,0,,,,,,,
Jim Bailey\BailJi21,22.85,1,0,0,5,1970,1978,42,116,83,1,8,0,8,,,,,,,
Jason Ferguson\FergJa21,22.75,0,0,0,9,1997,2009,51,159,127,0,0,0,0,9,21.5,503,350,153,32,2
Ray Agnew\AgneRa20,22.55,1,0,0,7,1990,2000,41,157,98,2,34,1,34,1,22.5,451,381,70,9,
Grady Jackson\JackGr20,22.55,0,0,0,9,1997,2009,50,185,129,0,0,0,0,24,35.5,510,384,126,93,5
Steve McLendon\McLeSt00,22.50,1,0,0,7,2010,2020,43,153,90,0,0,0,0,2,12.5,265,165,100,43,28
Mike Patterson\PattMi20,22.50,0,0,0,6,2005,2014,50,147,108,1,21,0,21,4,16.5,388,287,101,43,23
Eric Swann\SwanEr00,22.48,0,0,2,6,1991,2000,44,126,87,2,42,1,42,8,46.5,463,386,77,8,
Manu Tuiasosopo\TuiaMa20,22.48,1,0,0,5,1979,1986,41,119,94,1,22,0,22,,9.5,,,,,
Roland Lakes\LakeRo20,22.45,0,0,0,10,1961,1971,50,154,135,0,0,0,0,,,,,,,
Derland Moore\MoorDe22,22.23,0,0,0,11,1973,1986,49,171,146,1,0,0,0,,12.0,,,,,
Ray Hamilton\HamiRa21,22.20,0,0,0,8,1973,1981,49,132,117,0,0,0,0,,,,,,,
Sione Pouha\PouhSi20,22.05,0,0,0,4,2005,2012,49,106,55,0,0,0,0,11,4.5,263,193,70,13,8
D'Marco Farr\FarrDM20,22.03,1,0,0,5,1994,2000,40,100,88,3,32,0,22,6,36.5,251,206,45,14,
John Thornton\ThorJo21,22.03,0,0,0,8,1999,2008,49,143,123,1,0,0,0,20,27.5,303,206,97,54,14
Jeff Zgonina\ZgonJe20,22.03,1,0,0,4,1993,2009,40,219,67,1,0,0,0,9,26.0,458,318,140,47,5
Paul Dickson\DickPa20,21.95,0,0,0,7,1959,1971,49,152,87,0,0,0,0,,,,,,,
Mike Lewis\LewiMi20,21.93,0,0,0,7,1971,1980,49,130,96,1,3,0,3,,,,,,,
Joe Rutgens\RutgJo00,21.93,0,0,2,7,1961,1969,43,110,99,0,0,0,0,,,,,,,
Earl Leggett\LeggEa20,21.85,1,0,0,6,1957,1968,40,132,81,1,11,0,11,,,,,,,
Mike Tilleman\TillMi20,21.63,0,0,0,10,1966,1976,48,149,137,0,0,0,0,,,,,,,
Ernie Holmes\HolmEr20,21.58,2,0,0,4,1972,1978,35,84,58,0,0,0,0,,,,,,,
Seth Payne\PaynSe20,21.58,0,0,0,6,1997,2006,48,121,98,0,0,0,0,4,17.5,332,247,85,38,1
Ahtyba Rubin\RubiAh99,21.58,0,0,0,7,2008,2017,49,143,107,2,3,0,2,7,15.0,428,264,164,23,37
Ma'ake Kemoeatu\KemoMa20,21.53,1,0,0,6,2002,2012,39,136,86,0,0,0,0,9,5.0,287,219,68,20,4
Jim Lee Hunt\HuntJi00,21.45,0,0,4,7,1960,1970,51,146,96,1,78,1,78,,,,,,,
Gilbert Brown\BrowGi20,21.40,1,0,0,7,1993,2003,39,125,103,0,0,0,0,1,7.0,99,61,38,7,
Cody Jones\JoneCo00,21.28,0,0,1,5,1974,1982,45,110,77,0,0,0,0,,0.0,,,,,
Corey Simon\SimoCo00,21.28,0,0,1,6,2000,2007,45,95,91,0,0,0,0,14,32.0,251,194,57,50,0
Tyson Alualu\AluaTy99,21.20,0,0,0,6,2010,2020,48,172,109,0,0,0,0,14,24.5,398,252,146,46,67
Mike Reid\ReidMi00,21.20,0,1,2,5,1970,1974,36,64,63,0,0,0,0,,,,,,,
Paul Smith\SmitPa01,21.13,0,0,2,6,1968,1980,44,164,94,2,14,0,8,,,,,,,
Tim Goad\GoadTi20,21.10,0,0,0,8,1988,1996,47,141,123,0,0,0,0,,14.5,543,500,43,,
John Parrella\ParrJo20,21.05,0,0,0,7,1993,2004,47,172,111,0,0,0,0,13,26.5,407,337,70,30,
Kawann Short\ShorKa00,20.85,0,0,2,5,2013,2020,42,99,76,0,0,0,0,12,32.5,280,167,113,59,88
B.J. Raji\RajiBJ99,20.65,1,0,1,5,2009,2015,34,91,78,0,0,0,0,10,11.0,151,103,48,24,18
Earl Edwards\EdwaEa20,20.63,0,0,0,8,1969,1979,46,150,114,0,0,0,0,,,,,,,
Grady Jarrett\JarrGr00,20.55,0,0,2,5,2015,2020,42,93,78,0,0,0,0,0,25.5,300,160,140,51,77
John Mendenhall\MendJo20,20.55,0,0,0,9,1972,1980,46,116,110,1,3,0,3,,,,,,,
Leonard Williams\WillLe02,20.40,0,0,1,5,2015,2020,47,95,87,1,6,0,6,7,29.0,323,164,159,48,131
Jim Flanigan\FlanJi21,20.30,0,0,0,6,1994,2003,46,145,97,1,6,0,6,5,46.0,342,260,82,27,
Jason Fisk\FiskJa20,20.08,0,0,0,7,1995,2006,45,182,107,3,18,0,17,5,19.0,394,284,110,43,1
Mike Barnes\BarnMi00,19.98,0,0,1,7,1973,1981,42,113,95,0,0,0,0,,,,,,,
Jim Kanicki\KaniJi20,19.88,1,0,0,7,1963,1971,36,116,86,0,0,0,0,,,,,,,
Jimmie Jones\JoneJi22,19.83,2,0,0,3,1990,1997,32,121,60,0,0,0,0,,32.0,277,248,29,,
Bob Rowe\RoweBo00,19.83,0,0,0,8,1967,1975,45,122,109,2,19,1,18,,,,,,,
Dave Pear\PearDa00,19.60,1,0,1,4,1975,1980,32,79,62,0,0,0,0,,,,,,,
Corey Peters\PeteCo00,19.60,0,0,0,7,2010,2020,47,138,121,1,1,0,1,9,19.0,292,193,99,47,38
Mike Daniels\DaniMi00,19.50,0,0,1,6,2012,2020,43,122,85,1,6,0,6,5,30.0,252,167,85,50,71
Bob Heinz\HeinBo21,19.40,2,0,0,4,1969,1978,32,111,55,0,0,0,0,,,,,,,
Paul Soliai\SoliPa99,19.38,0,0,1,6,2007,2016,40,138,87,0,0,0,0,12,5.5,221,159,62,35,25
Herb Orvis\OrviHe20,19.35,0,0,0,7,1972,1981,44,122,104,0,0,0,0,,,,,,,
Rocky Bernard\BernRo20,19.33,1,0,0,3,2002,2012,35,160,60,0,0,0,0,20,33.0,383,270,113,61,28
